run,round 20 average point difference,round 21 average point difference,round 22 average point difference,round 23 average point difference,round 24 average point difference,round 25 average point difference,round 26 average point difference,round 27 average point difference,round 28 average point difference,round 29 average point difference,round 30 average point difference,round 31 average point difference,round 32 average point difference,round 33 average point difference,round 34 average point difference,round 35 average point difference,round 36 average point difference,round 37 average point difference,round 38 average point difference
75,14,13,14,18,18,23,5,7,5,14,14,16,20,26,25,24,25,30,29
76,15,13,18,20,17,22,10,13,15,7,8,11,27,24,28,27,34,26,37
77,17,18,18,18,20,19,15,10,12,5,10,10,26,26,28,29,28,33,31
78,13,17,17,16,17,23,11,6,10,14,11,14,22,30,24,30,31,31,29
79,14,12,19,17,16,20,11,13,13,10,12,10,26,29,24,31,31,30,31
80,15,16,20,17,17,21,14,13,15,7,7,9,21,29,27,23,30,32,28
81,17,19,15,18,17,13,10,10,7,14,10,11,24,27,26,24,30,33,28
82,16,16,17,17,14,21,12,9,7,10,15,15,25,20,26,27,29,30,30
83,17,15,18,13,22,23,13,11,10,14,17,9,25,24,27,29,22,22,30
84,15,13,15,16,17,15,12,11,17,14,15,8,21,23,25,28,25,24,30
85,14,17,16,18,17,14,13,10,7,8,12,15,20,27,25,28,26,26,31
86,17,16,19,18,18,21,18,14,8,9,10,21,26,23,26,33,29,25,31
87,15,14,13,18,14,19,10,13,8,13,19,12,18,20,21,25,26,28,23
88,13,14,15,17,20,15,5,15,11,11,9,18,22,21,27,28,27,24,31
89,13,13,16,14,17,17,11,8,9,16,9,7,21,24,22,26,23,25,26
90,14,17,18,15,19,18,16,10,6,9,13,16,26,27,25,29,23,25,32
91,16,14,17,15,19,17,8,13,12,7,19,14,22,24,28,25,30,26,27
92,15,16,19,21,24,18,9,12,15,12,10,14,29,26,31,27,27,25,29
93,14,16,16,19,21,19,12,13,15,9,13,10,24,27,30,31,32,30,34
94,16,17,16,17,20,19,14,3,15,9,15,8,27,25,27,32,28,29,30
95,14,15,15,19,17,19,5,14,3,16,13,8,22,24,26,22,29,24,32
96,14,16,13,17,14,16,12,6,12,14,9,10,18,21,23,24,28,29,26
97,16,17,17,19,20,16,11,6,11,12,19,11,26,28,26,31,23,27,26
98,16,16,12,19,18,20,11,10,9,12,14,10,25,22,27,22,28,28,30
99,16,18,17,17,15,20,13,11,13,6,15,16,18,30,28,28,28,32,35
