run,title_contenders_round_34,title_contenders_round_35,title_contenders_round_36,title_contenders_round_37,title_contenders_round_38,champions_league_contenders_round_34,champions_league_contenders_round_35,champions_league_contenders_round_36,champions_league_contenders_round_37,champions_league_contenders_round_38,relegation_contenders_round_34,relegation_contenders_round_35,relegation_contenders_round_36,relegation_contenders_round_37,relegation_contenders_round_38,no_stakes_round34,no_stakes_round35,no_stakes_round36,no_stakes_round37,no_stakes_round38,title_matches_round_34,title_matches_round_35,title_matches_round_36,title_matches_round_37,title_matches_round_38,champions_league_matches_round_34,champions_league_matches_round_35,champions_league_matches_round_36,champions_league_matches_round_37,champions_league_matches_round_38,relegation_matches_round_34,relegation_matches_round_35,relegation_matches_round_36,relegation_matches_round_37,relegation_matches_round_38,title_vs_relegation_matches_round_34,title_vs_relegation_matches_round_35,title_vs_relegation_matches_round_36,title_vs_relegation_matches_round_37,title_vs_relegation_matches_round_38,champions_league_vs_relegation_matches_round_34,champions_league_vs_relegation_matches_round_35,champions_league_vs_relegation_matches_round_36,champions_league_vs_relegation_matches_round_37,champions_league_vs_relegation_matches_round_38,irrelevant_matches_round_34,irrelevant_matches_round_35,irrelevant_matches_round_36,irrelevant_matches_round_37,irrelevant_matches_round_38,partially_relevant_matches_round_34,partially_relevant_matches_round_35,partially_relevant_matches_round_36,partially_relevant_matches_round_37,partially_relevant_matches_round_38,highly_relevant_matches_round_34,highly_relevant_matches_round_35,highly_relevant_matches_round_36,highly_relevant_matches_round_37,highly_relevant_matches_round_38
37,4,3,2,0,0,4,0,0,0,0,9,5,3,3,2,5,12,15,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,3,6,5,3,2,6,1,0,0,0
38,3,2,0,0,0,7,5,4,3,2,9,6,4,3,0,2,7,12,14,18,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,8,2,5,8,2,2,8,4,0,2,0
39,3,3,0,0,0,8,7,6,5,4,6,5,4,4,4,3,5,10,11,12,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,5,8,7,4,7,5,1,1,2
40,2,2,2,2,2,6,4,3,2,0,6,4,4,4,2,6,10,11,12,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,2,6,7,6,4,6,2,1,1,0
41,4,4,4,3,2,4,0,0,0,0,6,6,5,0,0,8,10,11,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,8,4,6,7,3,2,4,2,1,0,0
42,3,2,2,0,0,3,2,2,0,0,10,8,5,3,2,5,8,11,17,18,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,8,5,6,5,3,2,5,3,2,0,0
43,2,2,0,0,0,6,6,5,3,2,6,5,4,0,0,6,7,11,17,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,6,7,5,3,2,4,3,2,0,0
44,4,3,2,2,2,8,5,3,3,3,5,3,0,0,0,6,10,15,15,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,5,5,4,4,3,5,5,5,3,1,0,0
45,2,2,2,2,0,9,7,5,2,0,8,6,5,3,2,1,5,8,13,18,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,5,2,3,2,9,5,5,2,0
46,3,3,3,3,0,6,5,2,0,0,6,5,3,0,0,5,7,12,17,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,10,3,7,6,3,0,6,3,1,0,0
47,2,0,0,0,0,7,6,3,3,3,10,8,6,3,3,1,6,11,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,1,4,5,4,4,9,5,2,1,1
48,4,3,3,2,0,2,0,0,0,0,9,9,7,4,3,6,8,10,14,17,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,6,8,6,4,3,4,2,2,1,0
49,3,2,2,0,0,4,4,4,3,3,8,7,5,2,0,5,7,9,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,7,3,7,5,5,3,6,3,3,0,0
50,3,2,2,2,0,5,3,0,0,0,8,7,4,2,0,5,8,14,16,20,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,10,5,4,4,4,0,5,4,1,0,0
51,3,3,2,2,0,7,5,3,2,0,8,8,8,6,0,2,4,7,10,20,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10,2,2,5,6,0,8,7,4,2,0
52,3,3,2,2,0,7,4,3,0,0,9,6,5,4,2,2,7,10,14,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,2,3,6,6,2,8,5,2,0,0
53,0,0,0,0,0,7,6,3,0,0,4,2,0,0,0,9,12,17,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,10,10,7,6,3,0,0,2,1,0,0,0
54,2,2,2,2,2,5,4,3,3,0,12,9,6,3,2,1,5,9,12,16,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,5,7,4,2,9,5,2,2,1
55,2,2,2,0,0,9,6,4,2,2,8,4,0,0,0,1,8,14,18,18,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,8,1,4,4,2,2,9,4,1,0,0
56,0,0,0,0,0,7,5,0,0,0,9,7,5,4,3,4,8,15,16,17,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,4,6,3,4,3,6,3,1,0,0
