run,round,home_team,away_team
2,7,Borussia Dortmund,Manchester City
2,7,Inter,PSV
2,7,Atletico Madrid,Sporting CP
2,7,Bayer Leverkusen,PSG
2,7,Atalanta,Shakhtar Donetsk
2,7,Juventus,Young Boys
2,7,Benfica,Leipzig
2,7,Club Brugge,Galatasaray
2,7,Feyenoord,Barcelona
2,7,AC Milan,Girona
2,7,Aston Villa,Celtic
2,7,PAOK,Stuttgart
2,7,Fenerbahçe,Real Madrid
2,7,AS Monaco,Liverpool
2,7,Maccabi Tel Aviv,Bayern Munich
2,7,Sparta Praha,Arsenal
2,7,Sturm Graz,Bologna
2,7,Stade Brestois,Lille
2,8,Real Madrid,Juventus
2,8,PSV,Sparta Praha
2,8,Manchester City,AC Milan
2,8,Bayern Munich,Benfica
2,8,Lille,Fenerbahçe
2,8,PSG,Club Brugge
2,8,Celtic,Inter
2,8,Liverpool,Aston Villa
2,8,Leipzig,Atalanta
2,8,Young Boys,Bayer Leverkusen
2,8,Barcelona,Stade Brestois
2,8,Arsenal,AS Monaco
2,8,Shakhtar Donetsk,Atletico Madrid
2,8,Sporting CP,Borussia Dortmund
2,8,Galatasaray,Feyenoord
2,8,Bologna,Maccabi Tel Aviv
2,8,Girona,PAOK
2,8,Stuttgart,Sturm Graz
3,5,PSV,PAOK
3,5,Manchester City,Leipzig
3,5,Inter,Arsenal
3,5,PSG,Bayern Munich
3,5,Celtic,Club Brugge
3,5,Liverpool,Lille
3,5,Atletico Madrid,Real Madrid
3,5,Benfica,Bayer Leverkusen
3,5,Feyenoord,Girona
3,5,AC Milan,Maccabi Tel Aviv
3,5,Aston Villa,Atalanta
3,5,Sporting CP,Young Boys
3,5,Fenerbahçe,Bologna
3,5,Galatasaray,Barcelona
3,5,Sparta Praha,AS Monaco
3,5,Stuttgart,Shakhtar Donetsk
3,5,Sturm Graz,Borussia Dortmund
3,5,Stade Brestois,Juventus
3,6,Borussia Dortmund,Atletico Madrid
3,6,Real Madrid,Inter
3,6,Bayern Munich,Sturm Graz
3,6,Lille,Manchester City
3,6,PSG,Galatasaray
3,6,Leipzig,Sparta Praha
3,6,Young Boys,Liverpool
3,6,Barcelona,Shakhtar Donetsk
3,6,Bayer Leverkusen,Fenerbahçe
3,6,Atalanta,Stade Brestois
3,6,Juventus,Stuttgart
3,6,Club Brugge,Arsenal
