run,round,team,rating,points,saldo
0,1,Liverpool,1905.69,3,2
0,1,Arsenal,1954.58,3,2
0,1,Tottenham,1799.61,3,3
0,1,Newcastle United,1812.81,3,3
0,1,Aston Villa,1776.71,3,1
0,1,Chelsea,1802.42,0,-2
0,1,Man City,2059.1,1,0
0,1,Everton,1719,3,1
0,1,Fulham,1723.48,3,1
0,1,Leicester,1639.31,0,-2
0,1,Crystal Palace,1763.95,3,2
0,1,Bournemouth,1682.39,0,-3
0,1,Nottingham Forest,1661.23,3,1
0,1,Brighton,1699.77,0,-1
0,1,Ipswich,1564.05,0,-2
0,1,Man United,1768.19,0,-3
0,1,Brentford,1702.9,1,0
0,1,Wolverhampton,1670.52,0,-1
0,1,Southampton,1593.29,0,-1
0,1,West Ham United,1714,0,-1
0,2,Liverpool,1907.88,6,3
0,2,Arsenal,1957.87,6,3
0,2,Tottenham,1804.17,6,4
0,2,Newcastle United,1817.22,4,3
0,2,Aston Villa,1763.54,3,0
0,2,Chelsea,1807.5,3,0
0,2,Man City,2061.61,4,3
0,2,Everton,1728.94,6,3
0,2,Fulham,1720.2,3,0
0,2,Leicester,1634.75,0,-3
0,2,Crystal Palace,1764.24,4,2
0,2,Bournemouth,1681.53,1,-3
0,2,Nottingham Forest,1662.09,4,1
0,2,Brighton,1695.37,1,-1
0,2,Ipswich,1558.96,0,-4
0,2,Man United,1758.25,0,-5
0,2,Brentford,1702.62,2,0
