run,round,team,rating,points,saldo
0,2,Wolverhampton,1668.01,0,-4
0,2,Southampton,1591.1,0,-2
0,2,West Ham United,1727.17,3,0
0,3,Liverpool,1912.08,9,6
0,3,Arsenal,1952.06,6,2
0,3,Tottenham,1792.53,6,1
0,3,Newcastle United,1822.57,7,6
0,3,Aston Villa,1765.74,4,0
0,3,Chelsea,1813.28,6,2
0,3,Man City,2067.42,7,4
0,3,Everton,1724.74,6,0
0,3,Fulham,1732.87,6,2
0,3,Leicester,1632.55,1,-3
0,3,Crystal Palace,1751.56,4,0
0,3,Bournemouth,1666.9,1,-4
0,3,Nottingham Forest,1675.32,7,2
0,3,Brighton,1707.01,4,2
0,3,Ipswich,1573.59,3,-3
0,3,Man United,1762.11,1,-5
0,3,Brentford,1696.84,2,-2
0,3,Wolverhampton,1664.14,1,-4
0,3,Southampton,1585.74,0,-5
0,3,West Ham United,1713.94,3,-1
0,4,Liverpool,1899.41,9,5
0,4,Arsenal,1955.13,9,6
0,4,Tottenham,1780.22,6,0
0,4,Newcastle United,1828.27,10,7
0,4,Aston Villa,1778.41,7,1
0,4,Chelsea,1820.54,9,4
0,4,Man City,2074.14,8,4
0,4,Everton,1710.83,6,-1
0,4,Fulham,1726.15,7,2
0,4,Leicester,1646.46,4,-2
0,4,Crystal Palace,1740.84,4,-1
0,4,Bournemouth,1679.2,4,-2
0,4,Nottingham Forest,1686.04,10,3
