run,round,team,rating,points,saldo
0,4,Fenerbahçe,1649.68,4,-4
0,4,Stuttgart,1537.76,3,-1
0,4,Benfica,1737.96,4,1
0,4,Feyenoord,1690.08,3,-6
0,4,Club Brugge,1718.91,5,2
0,4,AC Milan,1865.26,7,4
0,4,Stade Brestois,1531.82,4,-6
0,5,Borussia Dortmund,1900.64,10,6
0,5,Real Madrid,2113.43,15,11
0,5,PSV,1663.66,4,-5
0,5,Manchester City,2027.55,9,8
0,5,Bayern Munich,2077,13,11
0,5,Lille,1668.56,5,-2
0,5,Inter,1863.25,4,-7
0,5,Atletico Madrid,1927.09,12,5
0,5,PSG,2009.85,9,6
0,5,Celtic,1615.85,5,-2
0,5,Liverpool,1994.42,12,4
0,5,Leipzig,1807.81,10,3
0,5,Young Boys,1616.33,2,-5
0,5,Barcelona,2099.9,15,10
0,5,Bayer Leverkusen,1855.47,5,1
0,5,Atalanta,1859.34,8,7
0,5,Sporting CP,1679.24,6,-1
0,5,AS Monaco,1586.06,2,-6
0,5,Aston Villa,1595.9,7,-8
0,5,Juventus,1966.94,13,6
0,5,PAOK,1647.96,3,-5
0,5,Galatasaray,1613.82,6,3
0,5,Bologna,1574.6,4,-6
0,5,Girona,1537.59,0,-12
0,5,Maccabi Tel Aviv,1622.11,4,-3
0,5,Arsenal,1839.25,9,1
0,5,Sparta Praha,1580.51,5,-3
0,5,Sturm Graz,1516.41,2,-10
0,5,Shakhtar Donetsk,1721.96,7,-1
0,5,Fenerbahçe,1656.37,7,-3
0,5,Stuttgart,1534.2,4,-1
0,5,Benfica,1736.13,5,1
0,5,Feyenoord,1694.91,6,-5
0,5,Club Brugge,1727.68,8,3
0,5,AC Milan,1868.42,10,6
0,5,Stade Brestois,1529.82,4,-7
0,6,Borussia Dortmund,1901.35,11,6
0,6,Real Madrid,2116.43,18,14
0,6,PSV,1664.41,5,-5
0,6,Manchester City,2030.46,12,9
0,6,Bayern Munich,2077.57,16,13
0,6,Lille,1665.65,5,-3
0,6,Inter,1860.25,4,-10
0,6,Atletico Madrid,1926.38,13,5
0,6,PSG,2011.26,12,9
0,6,Celtic,1607.49,5,-4
0,6,Liverpool,1997.06,15,8
0,6,Leipzig,1811.16,13,4
0,6,Young Boys,1613.69,2,-9
0,6,Barcelona,2101.46,18,12
0,6,Bayer Leverkusen,1859.29,8,2
0,6,Atalanta,1867.33,9,7
0,6,Sporting CP,1675.47,7,-1
0,6,AS Monaco,1585.3,3,-6
0,6,Aston Villa,1596.11,8,-8
0,6,Juventus,1968.1,16,10
0,6,PAOK,1637.83,3,-6
0,6,Galatasaray,1612.4,6,0
0,6,Bologna,1567.67,4,-10
0,6,Girona,1537.38,1,-12
0,6,Maccabi Tel Aviv,1630.46,7,-1
0,6,Arsenal,1847.53,12,4
0,6,Sparta Praha,1577.16,5,-4
0,6,Sturm Graz,1515.84,2,-12
0,6,Shakhtar Donetsk,1720.41,7,-3
0,6,Fenerbahçe,1652.54,7,-4
0,6,Stuttgart,1533.04,4,-5
0,6,Benfica,1743.06,8,5
0,6,Feyenoord,1705.03,9,-4
0,6,Club Brugge,1719.4,8,0
0,6,AC Milan,1872.19,11,6
0,6,Stade Brestois,1521.83,5,-7
0,7,Borussia Dortmund,1913.55,14,8
0,7,Real Madrid,2118.13,21,20
0,7,PSV,1660.53,5,-6
0,7,Manchester City,2018.26,12,7
0,7,Bayern Munich,2079.43,19,22
0,7,Lille,1653.05,5,-5
0,7,Inter,1864.13,7,-9
0,7,Atletico Madrid,1929.36,16,8
0,7,PSG,2018.45,15,11
0,7,Celtic,1618.64,8,-3
0,7,Liverpool,1999.29,18,11
0,7,Leipzig,1811.64,14,4
0,7,Young Boys,1605.45,3,-9
0,7,Barcelona,2109.05,19,12
0,7,Bayer Leverkusen,1852.11,8,0
0,7,Atalanta,1872.17,12,8
0,7,Sporting CP,1672.48,7,-4
0,7,AS Monaco,1583.07,3,-9
0,7,Aston Villa,1584.96,8,-9
0,7,Juventus,1976.33,17,10
0,7,PAOK,1643.62,6,-5
0,7,Galatasaray,1626.67,9,1
0,7,Bologna,1577.66,7,-7
0,7,Girona,1535.43,1,-13
0,7,Maccabi Tel Aviv,1628.61,7,-10
0,7,Arsenal,1851.95,15,8
0,7,Sparta Praha,1572.75,5,-8
0,7,Sturm Graz,1505.85,2,-15
0,7,Shakhtar Donetsk,1715.56,7,-4
0,7,Fenerbahçe,1650.84,7,-10
0,7,Stuttgart,1527.25,4,-6
0,7,Benfica,1742.58,9,5
0,7,Feyenoord,1697.44,10,-4
0,7,Club Brugge,1705.13,8,-1
0,7,AC Milan,1874.14,14,7
0,7,Stade Brestois,1534.43,8,-5
0,8,Borussia Dortmund,1918.58,17,10
0,8,Real Madrid,2123.08,24,22
0,8,PSV,1666.73,8,-5
0,8,Manchester City,2003.16,12,6
0,8,Bayern Munich,2081.36,22,23
0,8,Lille,1661.52,8,-4
0,8,Inter,1869.06,10,-6
0,8,Atletico Madrid,1935,19,12
0,8,PSG,2020.63,18,13
0,8,Celtic,1613.71,8,-6
0,8,Liverpool,2000.58,21,15
0,8,Leipzig,1801.91,14,3
0,8,Young Boys,1600.55,3,-11
0,8,Barcelona,2109.58,22,17
0,8,Bayer Leverkusen,1857.01,11,2
0,8,Atalanta,1881.9,15,9
0,8,Sporting CP,1667.46,7,-6
0,8,AS Monaco,1600.34,6,-7
0,8,Aston Villa,1583.68,8,-13
0,8,Juventus,1971.38,17,8
0,8,PAOK,1632,6,-6
0,8,Galatasaray,1637.23,12,2
0,8,Bologna,1587.65,10,-5
0,8,Girona,1547.05,4,-12
0,8,Maccabi Tel Aviv,1618.62,7,-12
